iter,time,reward,steps,convergence
1,0.004743396999999927,89.24,8.84,79.80000000000001
2,0.008563485999999898,92.56,9.44,48.47348751878472
3,0.014301300999999711,92.72,9.28,33.00769440690138
4,0.019598795999999474,92.56,9.44,27.19379158711402
5,0.024930424999999534,91.8,9.22,24.29855703665463
6,0.027935865999999532,92.66,9.34,0.002247678936100783
7,0.02997419499999987,92.74,9.26,0.00035586173468971083
8,0.03200114699999945,91.86,9.16,0.00019017743272797816
9,0.0329363999999992,92.98,9.02,9.776406714934183e-05
10,0.0347841519999994,91.4,9.62,4.8841725686088466e-05
11,0.03576832999999935,92.2,9.8,2.3951706410230145e-05
12,0.03676843699999921,91.06,8.98,1.1649231922206127e-05
13,0.03768605499999911,92.94,9.06,5.6782379544984e-06
14,0.03827883699999912,93.42,8.58,2.800345171749541e-06
15,0.03881700599999949,92.38,9.62,1.4068854028437272e-06
16,0.03980345999999946,92.9,9.1,7.219680639991566e-07
17,0.040359264999999755,92.7,9.3,3.777686856665241e-07
18,0.04091677699999963,92.62,9.38,2.0054226013144216e-07
19,0.04147826999999937,92.1,9.9,1.0732649968758778e-07
20,0.04229746999999939,92.36,9.64,5.75634828692273e-08
21,0.04305921199999929,91.34,9.68,3.079919963511202e-08
22,0.04357974499999928,92.32,9.68,1.6391609847232758e-08
23,0.044111086999999216,92.44,9.56,8.665523409945308e-09
24,0.04462991299999963,91.72,9.3,4.549917775875656e-09
25,0.045195957999999425,92.68,9.32,2.3745485577819636e-09
26,0.04575289999999965,92.28,9.72,1.2334453458606731e-09
27,0.046273433999999725,93.0,9.0,6.387779194483301e-10
28,0.04679624299999974,93.16,8.84,3.303455287095858e-10
29,0.04747094499999971,91.96,9.06,1.708713170955889e-10
30,0.0480142339999996,91.56,9.46,8.849099231156288e-11
31,0.0485211139999997,92.16,9.84,4.594369329424808e-11
32,0.04916623499999995,91.6,9.42,2.3931079340400174e-11
33,0.04981420000000014,93.4,8.6,1.2462919585232157e-11
34,0.05033757800000016,92.58,9.42,6.52278231427772e-12
35,0.050850147000000234,91.52,9.5,3.396394276933279e-12
36,0.05135873400000035,92.68,9.32,1.7763568394002505e-12
37,0.051855943000000515,92.56,9.44,9.237055564881302e-13
38,0.052467498000000834,93.04,8.96,4.831690603168681e-13
39,0.05300282300000081,93.06,8.94,2.4158453015843406e-13
40,0.053538148000000785,93.06,8.94,1.4210854715202004e-13
41,0.05410817400000045,91.9,10.1,5.6843418860808015e-14
42,0.05464236100000042,93.06,8.94,5.6843418860808015e-14
43,0.05521864600000015,92.78,9.22,2.8421709430404007e-14
44,0.05574316200000018,91.4,9.62,2.8421709430404007e-14
45,0.05627507300000012,92.42,9.58,1.4210854715202004e-14
46,0.057105082000000085,93.02,8.98,0.0
47,0.057935660000000055,90.42,9.62,0.0
48,0.058775339999999954,90.86,9.18,0.0
49,0.05931293999999987,93.14,8.86,0.0
50,0.05985679799999977,92.38,9.62,0.0
51,0.06052353599999938,90.96,9.08,0.0
52,0.061309740999999196,92.52,9.48,0.0
53,0.06185871899999951,92.84,9.16,0.0
54,0.06238550999999948,92.32,9.68,0.0
55,0.0629151449999994,92.5,9.5,0.0
