iter,time,reward,steps,convergence
1,0.00019683500000056142,12.0,67.46,107.1
2,0.00091078999999894,68.04,22.2,113.9653266667701
3,0.0012617949999977895,90.66,11.34,116.79105760769498
4,0.0013602129999981116,92.86,9.14,124.26920246037062
5,0.0014364439999976497,91.3,9.72,130.92117622293904
6,0.0016036969999984052,93.48,8.52,121.1974495193768
7,0.0017260079999985578,-8.9,56.02,129.2974495193768
8,0.0018141859999989407,66.56,27.6,119.84420736170094
9,0.0018887099999975732,91.24,9.78,110.77411831453495
10,0.0020354839999967567,93.26,8.74,104.02935884778597
11,0.0021213859999971163,92.46,9.54,86.23577815720236
12,0.002217528999997498,92.76,9.24,69.82020481402381
13,0.0022550759999973025,63.66,37.36,57.32282971500466
14,0.002322204999996913,79.32,22.68,40.64048433713218
15,0.002621440999996949,61.04,39.98,24.465175598503496
16,0.0027659389999978856,52.86,23.66,39.29478197104785
17,0.002862081999998267,89.22,9.84,21.536749363838897
18,0.0029297799999987717,49.98,28.5,21.827150363308437
19,0.0029730159999985517,-206.58,37.12,21.388594564155436
20,0.0030395759999990446,-181.9,41.78,18.59548806699233
21,0.0031488030000002,92.32,9.68,18.688234514316473
22,0.0036539759999989485,89.22,9.84,33.74511007111726
23,0.003752962000000082,45.76,49.38,49.73688583949036
24,0.0038257799999996678,59.7,42.3,49.31272833044156
25,0.003935007000000823,58.86,42.16,49.66862961653497
26,0.0040311489999993455,46.52,53.46,35.37300647574604
27,0.004082917999999935,75.04,24.02,35.68564756312715
28,0.004350296000000142,33.84,63.2,37.980636262206026
29,0.0043832909999999,86.96,10.14,38.01905955526503
30,0.004410597999999766,90.28,9.76,38.344417294578456
31,0.004449851000000393,90.24,9.8,38.61568745664778
32,0.004518116999999933,92.64,9.36,24.182544621542707
33,0.004558508000000572,69.68,27.42,10.103701656859442
34,0.004610846000000279,92.22,9.78,10.332325955955339
35,0.004656357,73.2,27.82,9.954539370209918
36,0.004970382999999856,92.64,9.36,9.519439723672328
37,0.005030685000001256,72.62,29.38,9.467403677822663
38,0.005073920000000953,92.76,9.24,6.745190614723282
39,0.005105778000000782,92.68,9.32,6.736207406472838
40,0.005216712000001067,92.58,9.42,6.409430941324952
41,0.005345850000001207,92.4,9.6,6.3447658002657406
42,0.005481245000002133,90.24,11.76,5.923291123400588
43,0.005562027000001635,76.1,25.9,4.018004639000227
44,0.005605262000001332,91.68,10.32,3.803721035578417
45,0.0056661330000018495,79.82,22.18,3.808762195992871
46,0.005723591000002415,92.66,9.34,4.049166653053305
47,0.00578503100000205,89.28,9.78,7.626485577317271
48,0.005852728000002472,70.0,28.08,7.675618966543678
49,0.005897670000001298,92.02,9.0,7.591104459246532
50,0.005971626000000896,78.74,23.26,7.781248098435617
51,0.0060353410000004715,92.24,9.76,7.838055635250631
52,0.0061013330000019295,93.3,8.7,7.61151344854826
53,0.006153670000003331,91.46,9.56,7.417151866457192
54,0.006230470000003763,66.84,32.22,11.226544152500301
55,0.006344248000003105,77.06,24.94,11.261535086616462
56,0.006518897000002966,76.28,25.72,11.107457194508369
57,0.006582613000002624,91.18,9.84,7.5322788348293255
58,0.006717440000002739,-22.2,105.04,7.816581130010141
59,0.006802774000002287,91.2,9.82,7.792362899574168
60,0.0068568190000029006,91.76,9.26,7.728392936077394
61,0.006894366000002705,75.72,25.3,7.483514302579492
62,0.006951823000003188,92.76,9.24,7.489506504254315
63,0.007053085000002568,59.82,41.2,7.949204249255741
64,0.007174259000001015,79.56,22.44,4.3746306177511345
65,0.007212943000000749,45.52,51.58,4.494855391493571
66,0.007318187000000975,57.22,41.84,4.641698687074822
67,0.00742912100000126,51.52,47.48,4.5727831246458335
68,0.007481459000000967,90.58,10.44,4.491337211046215
69,0.007555415000000565,83.44,11.7,8.590382217726813
70,0.007603202000000309,87.26,10.82,8.210734462588018
71,0.007644731000000959,89.44,9.62,11.689870540359738
72,0.007709584000000547,74.16,27.84,15.28709407008905
73,0.007831325999999805,92.48,9.52,15.337587419731705
74,0.00798777099999981,62.36,38.66,15.027009440193604
75,0.008070828999999335,63.02,38.98,14.899644772978354
76,0.008214757999999378,92.44,9.56,14.925810010388858
77,0.00829155799999981,74.48,27.52,15.126608738800376
78,0.008341619999999494,92.2,9.8,14.937845247080606
79,0.008389974999998273,76.14,25.86,10.938708388427422
80,0.00844231299999798,91.86,9.16,11.138772964845792
81,0.008504320999998427,92.04,8.98,7.7289162771823525
82,0.008566329999998956,77.46,23.56,4.358881650660001
83,0.008614685999999594,92.92,9.08,4.505537857613445
84,0.008655077000000233,-2.66,68.28,8.002947107557176
85,0.008730739000000654,-30.4,114.22,8.041675516226032
86,0.008785352000000302,80.74,20.28,7.761283852256644
87,0.008975930000000076,92.58,9.42,7.598664730373891
88,0.009008924999999834,90.76,9.28,7.969579219436364
89,0.009070365000001246,93.04,8.96,8.147334959046905
90,0.009109618000001873,92.84,9.16,8.09357847299279
91,0.009152854000001653,92.68,9.32,7.8518049047095015
92,0.009236481000002073,90.02,11.98,7.927693733090656
93,0.009296214000000802,90.7,11.3,7.607401572411888
94,0.00934684500000138,89.12,9.94,4.263063069455574
95,0.009485085000001447,76.3,25.7,8.241992058857852
96,0.009528321000001228,52.66,46.34,8.659371258130783
