iter,time,reward,steps,convergence
1,0.00045909399999999323,-1.68,73.12,91.1
2,0.0010723569999999683,29.1,57.22,82.82000000000001
3,0.001202063000000031,55.46,37.72,74.23337511220001
4,0.0012993429999998973,72.94,28.08,65.4708255689938
5,0.0014825249999999013,77.98,24.02,56.49216043899678
6,0.0016059740000000655,80.14,21.86,47.39205910045412
7,0.0017436459999999876,76.64,25.36,38.35915729458795
8,0.0020246779999999465,80.58,21.42,29.16524104174738
9,0.0024553269999998406,74.64,27.36,20.07485021676721
10,0.0025810509999999454,77.28,24.72,10.768738214256969
11,0.0026282689999999054,75.24,26.76,9.430518565302664
12,0.002830224999999853,79.48,22.52,8.474089188872547
13,0.0029383139999998864,78.24,23.76,7.74420467111343
14,0.003071433999999984,76.06,24.96,7.15506980781571
15,0.00326485700000001,77.22,24.78,6.862988294792572
16,0.003495825000000119,73.08,28.92,6.67706104871922
17,0.0035487320000000544,74.54,27.46,6.415861334111395
18,0.0037193989999999566,74.24,27.76,6.077111387878998
19,0.0037899409999999634,74.28,27.72,5.650586311253001
20,0.0038473989999998626,70.08,31.92,5.479893888988853
21,0.003900873999999721,80.7,21.3,5.275702697098791
22,0.003947522999999675,77.78,23.24,5.016808716252743
23,0.003992464999999612,77.78,23.24,4.811572588821466
24,0.004049353999999505,75.16,26.84,4.60400729243654
25,0.004135824999999427,74.94,27.06,4.436686554153413
26,0.004171096999999513,75.32,26.68,4.209703202731789
27,0.004270082999999536,76.94,25.06,4.292925320587152
28,0.004377033999999558,79.64,22.36,4.219973753778522
29,0.0044555399999994805,76.3,24.72,4.211517589959449
30,0.004648392999999418,73.64,28.36,4.163920466662654
31,0.004698454999999546,79.56,22.44,4.0402999046548835
32,0.004796872999999424,71.94,30.06,3.9731532001043477
33,0.005104641999999604,78.28,23.72,3.9888607014902058
34,0.005155272999999738,74.56,24.5,3.98840577564701
35,0.005222970999999799,75.64,26.36,3.8277758893130462
36,0.005352676999999861,70.92,28.14,3.7512965405194834
37,0.005438578999999777,77.0,25.0,3.4384972976044743
38,0.005596161999999794,77.48,24.52,3.504201868165359
39,0.005862401999999767,76.08,24.94,4.209768396309579
40,0.005959112999999849,75.02,26.98,5.571767027199453
41,0.006353921999999734,75.46,26.54,5.439818296006168
42,0.006592855999999703,77.04,24.96,5.351867696293403
43,0.00663267799999967,77.62,23.4,5.266954084264906
44,0.0066998069999995025,77.62,24.38,6.474301782957727
45,0.0067657979999995455,80.14,21.86,6.389627572732758
46,0.006820410999999416,71.44,30.56,6.317577311944132
47,0.006939308999999394,75.34,26.66,6.233025007611971
48,0.007010988999999412,74.96,27.04,6.110801191061254
49,0.007051948999999391,77.16,24.84,5.250574412877312
50,0.007133868999999349,74.04,27.96,4.936952513845312
51,0.007238543999999347,75.14,25.88,4.976038907585961
52,0.007426276999999315,78.22,23.78,5.963714412987882
53,0.0075008019999993625,79.04,22.96,6.4834882475078945
54,0.007563379999999231,79.34,22.66,5.242732578411175
55,0.0076572469999993675,77.96,23.06,5.27874212341608
56,0.007739735999999331,80.82,21.18,5.29682647844878
57,0.007847823999999282,76.64,24.38,5.230847085128974
58,0.007896178999999393,77.4,24.6,5.175873719020069
59,0.008122595999999316,73.74,28.26,5.195950313933237
60,0.008199395999999304,75.06,26.94,4.0198297249408395
