iter,time,reward,steps,convergence
1,0.007264145,-223.02,57.42,91.1
2,0.008924731999999998,-5.18,60.08,83.02000000000001
3,0.009254118999999998,50.54,30.88,74.9202
4,0.009754173000000005,88.34,11.7,66.6582
5,0.01147392500000001,93.16,8.84,58.732264855260915
6,0.012146351000000014,76.94,24.08,50.14529830946091
7,0.013054867000000012,72.68,28.34,41.521858460828874
8,0.013517373000000013,92.54,9.46,32.65587218343692
9,0.014321782000000019,89.24,8.84,23.593423298749435
10,0.015390156000000016,80.88,9.36,14.447219302530698
11,0.015744005000000005,40.64,8.44,13.057794065593527
12,0.01659221800000002,39.04,9.06,12.194995453705324
13,0.01694663600000003,32.98,9.24,11.256276703005943
14,0.017201499000000037,39.14,8.96,10.868497263241935
15,0.02032526900000002,33.98,9.22,9.81769992300973
16,0.023036024999999988,30.62,9.64,9.206385301497068
17,0.025487367999999982,39.0,9.1,8.557844980869262
18,0.025857714999999976,44.26,8.74,8.342590919223458
19,0.02699549299999998,35.82,9.34,8.39634156080726
20,0.02749270199999998,46.98,8.96,8.273500649128712
21,0.02949746699999997,43.36,8.66,8.421583124326357
22,0.030255796999999973,88.94,9.14,8.438357914426268
23,0.03058176999999998,85.6,9.54,8.553905236022464
24,0.031076702999999956,86.06,9.08,7.731529169473035
25,0.03164160999999996,84.3,9.86,8.233233734694654
26,0.032344756999999946,90.22,8.84,8.950555569595116
27,0.03325156599999993,79.14,9.14,8.669089778741078
28,0.03377608199999993,78.98,9.3,8.419688116157753
29,0.035023086999999925,87.24,8.88,8.704019365023711
30,0.049419393999999894,79.52,9.74,8.747390208418908
31,0.04979258499999989,89.94,10.1,8.862519345933672
32,0.0506163359999999,86.34,8.8,8.339868457782476
33,0.05221491499999992,92.96,9.04,7.882931428551343
34,0.05387379499999992,92.3,9.7,8.333991145955043
35,0.05451550099999994,91.46,9.56,7.273553363779247
36,0.054819287999999966,90.04,9.02,6.293856659279084
37,0.055486025999999966,93.1,8.9,6.273627366824874
38,0.055669208,92.86,9.14,6.070971421115378
39,0.05597925200000001,92.78,9.22,5.1860024961888325
40,0.05655724300000001,92.12,8.9,5.057219668089018
41,0.057580105999999964,92.28,9.72,4.557494729517189
42,0.05821953699999999,92.92,9.08,4.494672804809257
43,0.06011905799999995,91.52,9.5,4.3214760855862595
44,0.060568479999999925,92.6,9.4,3.6784226124222292
45,0.060826755999999926,92.88,9.12,3.7905769200384314
46,0.06158736099999995,92.94,9.06,3.553253244732711
47,0.06176257899999993,91.8,9.22,3.9549652694834654
48,0.06228823199999994,91.8,9.22,4.118032689702945
49,0.0624156629999999,92.82,9.18,3.962054260093012
50,0.06261648099999989,93.22,8.78,3.5979042734782105
51,0.06290775199999987,93.1,8.9,3.837634075745945
52,0.06327866799999987,91.74,9.28,3.6354202965115237
53,0.06364218799999988,92.5,9.5,3.735256676146693
54,0.06502857099999987,93.1,8.9,3.6745390640378206
55,0.06534657999999988,92.38,9.62,3.345266525810993
56,0.0667443399999999,93.2,8.8,3.267990608502683
57,0.06688769999999994,92.32,8.7,2.8210563966172106
58,0.06736329099999994,92.16,8.86,2.8268663374087244
59,0.06874796699999991,91.92,9.1,2.823774300720934
60,0.06886913999999994,92.72,9.28,2.9522648396930644
61,0.06902615299999992,92.66,9.34,2.456907853306134
62,0.06958195699999992,92.88,9.12,2.3772090949637605
63,0.0698299919999999,92.98,9.02,2.100551834746306
64,0.07040627699999985,92.04,8.98,2.0167227224351505
65,0.07110999299999987,90.8,9.24,1.9668130371803876
66,0.07126074899999985,92.76,9.24,1.9497446690540599
67,0.07142629599999983,92.76,9.24,1.7611992259424505
68,0.07163280199999983,92.76,9.24,1.3336781573575727
69,0.07184442899999982,91.72,9.3,1.3224733071223418
70,0.07206345199999986,93.18,8.82,1.304017789118901
71,0.07248841199999989,92.66,9.34,1.413413019807654
72,0.07328713199999987,92.82,9.18,1.4820971107274545
73,0.07357555899999985,91.96,9.06,1.434816225820569
74,0.07397093699999985,92.92,9.08,1.4892141140233917
75,0.07487034999999986,92.94,9.06,1.4671367242271771
76,0.07549043899999985,92.4,9.6,1.9030189045049404
77,0.07628972799999983,92.28,9.72,1.8737750268529723
78,0.07677214599999982,92.28,9.72,1.827632965067417
79,0.07723692799999982,92.7,9.3,2.2168288026000567
80,0.07756745199999981,91.16,9.86,1.984742306293215
81,0.0784799499999998,93.04,8.96,2.0120581911136157
82,0.0797201289999998,92.76,9.24,1.995432296665404
83,0.07989534599999981,92.2,9.8,2.1020849873182073
84,0.08044432399999979,92.76,9.24,2.0812085242821667
85,0.0806684669999998,93.16,8.84,2.425631901358849
86,0.08087724999999979,92.8,9.2,2.0134269222497876
87,0.08161623699999981,92.32,9.68,2.4017270789604312
88,0.0818267259999998,92.62,9.38,2.5672996111715305
89,0.08247070799999978,92.7,9.3,2.13223760090991
90,0.0828626719999998,88.76,10.3,2.527261813234843
91,0.08337467299999979,92.38,9.62,2.3174312373551174
92,0.0841102469999998,91.54,9.48,2.584217574730441
