iter,time,reward,steps,convergence
1,0.00028444500000013306,-87.56,139.18,89.741987495064
2,0.0007941699999998164,-6.74,92.64,80.0232395815296
3,0.0009312729999999547,61.38,32.6,74.64904083202319
4,0.0010649620000000581,-59.64,114.56,68.66507330121394
5,0.0014466870000005017,-136.94,157.64,59.2922955875073
6,0.0015917540000005559,-133.02,157.64,49.772826997880834
7,0.0018659590000007498,85.1,13.96,40.32922964872022
8,0.002007612000000769,77.5,23.52,33.663621478093475
9,0.0025002700000005262,40.72,57.24,25.37378101556603
10,0.0026089279999998993,75.92,26.08,19.704032406566995
11,0.0035618170000004667,70.9,30.12,20.80305848659912
12,0.003659665999999895,92.3,9.7,23.05415600040475
13,0.003964590999999906,74.8,27.2,21.315207566328674
14,0.004074955999999297,73.66,28.34,19.937141719364035
15,0.0043975159999991575,-14.36,102.22,22.14788559147072
16,0.005166084999999043,40.14,61.86,22.223488660406105
17,0.0054021739999985385,69.14,30.9,22.411920139563442
18,0.005684342999998648,92.66,9.34,19.537242930344075
19,0.005903364999999106,92.98,9.02,20.696426388450195
20,0.006014866999999313,91.98,10.02,18.207613843286744
21,0.0061633469999993196,90.84,10.18,19.276564875245942
22,0.006413657999998712,76.82,24.2,21.238341676191585
23,0.00654165799999884,-4.86,89.78,18.92011224721383
24,0.006707204999998773,72.96,24.14,16.716194882895106
25,0.006935328999998269,83.02,11.14,18.120820767054134
26,0.00706162199999838,91.98,9.04,21.723411259592798
27,0.007135577999997977,89.78,10.26,21.367101857460604
28,0.0071645909999977775,88.62,10.44,23.76807169987486
29,0.007377355999997448,75.22,26.78,24.677466860155402
30,0.007592396999997142,91.28,10.72,26.663590517592404
31,0.007662369999996699,70.76,31.24,27.478643568781376
32,0.007951933999996719,78.44,23.56,23.704573950402725
33,0.008174369999996323,79.3,22.7,27.34567314161775
34,0.008267667999995787,75.04,26.96,27.385799013503703
35,0.00833081499999544,58.82,43.18,23.586000014682554
36,0.008380876999995124,92.74,9.26,22.27246006564917
37,0.008695471999994986,77.02,24.98,26.573934984447806
38,0.008863293999994859,60.3,41.7,24.226354023447595
39,0.008965124999995133,57.64,40.44,20.905815867588572
40,0.00898958699999497,77.9,22.14,17.604848099646482
41,0.009066386999994513,72.5,29.5,16.529656014722807
42,0.009106208999994259,71.78,30.22,18.617804275573327
43,0.009385533999994422,73.28,28.72,15.000605250578383
44,0.009470866999994776,-102.66,152.2,15.376418200641762
45,0.009640964999994672,77.82,24.18,15.510258015525684
46,0.009815044999994527,77.96,24.04,17.174910422489454
47,0.009845195999994338,73.1,27.92,12.96998248946187
48,0.009903791999994027,92.32,9.68,15.172881361965036
49,0.009947027999993807,92.68,9.32,15.33324543561053
50,0.010017000999993364,65.68,36.32,19.13749780101309
51,0.010118831999993638,71.84,29.18,17.027434530063324
52,0.010257640999993711,78.52,23.48,17.01191987311116
53,0.010397017999993707,78.22,23.78,21.109396319451275
54,0.010435132999994323,78.76,22.26,24.586097636437756
55,0.010597266999994304,73.16,28.84,24.663600242355283
56,0.010642208999994018,86.92,14.1,22.863210785842767
57,0.010689426999993756,85.74,10.38,26.731941889187897
58,0.010790688999993137,82.44,9.76,28.533791205810168
59,0.0108851249999935,73.7,27.32,31.98348380732001
60,0.010942582999993178,92.04,8.98,30.160503793159155
61,0.010989230999993715,92.84,9.16,33.7917936391019
62,0.011188342999993495,92.96,9.04,31.597051072145934
63,0.011290173999993769,40.36,57.6,30.85602727544679
64,0.011335115999993484,72.86,28.16,28.9786110941556
65,0.011374368999993223,79.18,22.82,28.788868490465756
66,0.011568928999993844,92.48,9.52,26.49203703871898
67,0.011673604999994147,61.12,40.88,26.465764880288297
68,0.01188181799999466,56.06,45.94,24.68111000411274
69,0.01215545399999396,65.56,26.64,25.45637969402209
70,0.012194707999993781,53.94,44.14,24.93378348078418
71,0.01232270799999391,73.62,25.44,25.210628138907914
72,0.012418849999994208,92.5,9.5,28.861351594037945
73,0.012519543999993665,62.36,39.64,29.43189734194404
74,0.012669730999993689,71.4,29.62,31.74496911286976
75,0.01273913499999324,92.14,8.88,35.75490788389304
76,0.012809676999993691,92.12,9.88,37.8901606528417
77,0.01288704599999324,92.46,9.54,37.6358191335725
78,0.013015614999993375,91.94,10.06,35.51173735709978
79,0.013185143999993265,75.24,25.78,35.74100012864371
80,0.013317125999993351,47.34,28.2,34.23012553765771
81,0.013395063999993795,19.62,51.02,34.29465958546716
82,0.013555490999993758,58.7,40.36,34.34253397176932
83,0.01375630899999436,31.58,57.56,34.73033156985105
84,0.01381717999999399,24.48,47.14,32.538240532420204
85,0.013948024999994146,73.84,28.16,32.4889382033272
86,0.014293909999993915,17.5,58.9,32.57189040638372
87,0.014453198999993866,59.78,40.26,31.195973515639924
88,0.014488469999993647,71.6,26.48,31.164292471070176
89,0.014732522999993947,86.48,10.62,28.61818957546036
90,0.01504086099999391,90.94,11.06,32.610556387274485
91,0.015095473999994447,90.1,10.92,32.62242031196631
92,0.01515406899999494,92.54,9.46,32.638905101794165
93,0.015241108999995312,-52.8,124.5,28.179116516900756
94,0.015502228999995538,74.34,27.66,29.49540569767266
95,0.015652984999995567,29.32,70.66,29.760374447643347
96,0.015686549999995414,63.64,38.36,27.692438720621528
97,0.015831616999995468,77.74,23.28,29.228775041979862
98,0.015863473999995215,27.62,72.36,33.00647572840055
99,0.01622301099999568,92.28,9.72,30.927769030748596
100,0.016644557999995868,72.24,29.76,26.96220726769361
101,0.01723620199999587,21.7,73.38,23.055528419718552
102,0.017348272999996084,90.0,12.0,19.5477603990644
103,0.01750926799999597,91.66,9.36,21.785962933841223
104,0.017600858999995417,36.9,65.1,18.697304667084403
105,0.017876769999994657,92.64,9.36,16.57925520753089
106,0.01801671599999466,92.06,9.94,18.811295724525515
107,0.01811911599999494,92.44,9.56,18.560818513868355
108,0.018161212999994625,75.2,26.8,18.89329396278014
109,0.018319363999994565,91.92,9.1,23.009737086571654
110,0.018389906999995098,77.0,25.0,23.422289439951065
111,0.018502546999995317,93.04,8.96,23.523959670044075
112,0.018596412999995593,92.0,9.02,26.94617324532307
113,0.018670367999995996,55.4,25.04,24.71864006142931
114,0.018791540999996137,-116.28,160.8,26.826817632984294
115,0.01920114099999637,36.36,58.66,28.552452600599104
116,0.019275096999995966,-281.68,97.1,30.44752273812615
117,0.019358723999995497,42.76,26.9,31.00527018889677
118,0.019540199999995345,92.86,9.14,26.92884780756546
119,0.01961813799999579,77.78,24.22,26.890028950129715
120,0.019781408999995698,92.3,9.7,26.416266795064672
121,0.019931026999995716,75.24,26.76,28.442074274766544
122,0.02001010299999617,86.14,14.88,28.904185133633387
123,0.020047649999995976,92.8,9.2,32.71792654319971
124,0.02012900099999637,93.02,8.98,32.776641256185286
125,0.02018475199999692,93.22,8.78,32.757674283194504
126,0.020226848999997493,91.52,9.5,28.49592914829791
127,0.020476021999997762,59.86,41.16,24.437905420240043
128,0.020816217999998443,73.32,28.68,28.060442123317465
129,0.02088107099999803,92.36,9.64,23.982864927392313
130,0.021333336999997954,-35.96,111.7,23.857571833914456
131,0.02141582599999836,-22.18,105.02,21.831354672400312
132,0.021518794999998647,73.5,27.52,21.390901756766684
133,0.02187036899999839,38.92,47.4,21.12816218550357
134,0.02196935599999872,91.54,9.48,18.704471119875564
135,0.02207687599999897,56.48,42.58,14.912215904997604
136,0.022380093999998962,41.04,42.34,17.345367582809068
137,0.022653160999999145,38.2,44.14,19.306902360910165
138,0.02275726699999936,30.46,50.96,19.234757966781963
139,0.022779453999999255,53.86,48.14,19.219071788858447
140,0.022843169999998914,93.18,8.82,22.65447917780094
141,0.022970600999999036,74.4,27.6,26.256530308994808
142,0.023025783999998772,71.08,29.94,25.972993482306038
143,0.02319417499999865,69.14,32.86,24.53764593127868
144,0.023259027999999127,73.84,26.2,24.82558666239506
145,0.02332445099999969,76.9,24.12,28.83477868717629
146,0.023373944999999452,88.2,9.88,28.742603000925875
147,0.023415472999999132,45.14,55.88,30.413877275373913
148,0.02349284199999868,58.34,43.66,28.443782595530386
149,0.023701054999998306,-61.04,130.72,31.656452289069744
150,0.023777285999998732,75.04,26.96,31.902001266753462
151,0.02383303699999839,59.8,42.2,31.911671807739076
152,0.02434048599999894,92.92,9.08,32.38136548062981
153,0.02438599699999866,78.56,23.44,32.35536259200775
154,0.02448612199999811,92.36,9.64,34.016513426218886
155,0.024562921999998544,91.98,9.04,29.975425469212894
156,0.024589659999998403,90.62,9.42,29.900969481524847
157,0.024653374999998867,30.62,63.42,28.741466924152256
158,0.024701160999999416,44.56,56.46,29.057214390626417
159,0.024895721000000037,46.18,53.8,29.452291937584356
160,0.024975934999999616,91.02,10.0,29.34695967343141
161,0.025237055999999036,-136.6,167.9,25.45221775658839
162,0.02535140199999919,74.78,27.22,25.12688700311933
163,0.025635846999999323,92.54,9.46,25.018000795762525
164,0.0258702289999988,90.98,11.02,23.201670353240303
165,0.026098352999998298,72.1,28.92,23.38524256278992
166,0.026362317999997664,57.34,43.68,21.335062659936934
167,0.026572237999997306,74.76,27.24,23.06890108280941
168,0.02666269099999674,91.7,9.32,20.967647778502638
169,0.02684132199999656,93.1,8.9,17.19997747416981
170,0.02703986399999625,92.48,9.52,15.150502599668329
171,0.02713828099999649,90.88,9.16,17.241810332360796
172,0.027265142999996606,72.56,27.48,17.640368714127142
173,0.02733966799999621,68.54,27.58,19.27039507470865
174,0.027446618999996453,90.26,9.78,18.99341606661642
175,0.027530245999995984,76.92,24.1,18.68585889827623
176,0.02776974799999543,30.88,68.12,18.618264189135875
177,0.02781013899999607,93.02,8.98,18.378310737940986
178,0.027943827999996174,90.52,11.48,18.990693777732883
179,0.02801038799999578,91.9,9.12,19.592408744830294
180,0.02809742799999615,78.4,22.62,22.26104612602624
181,0.028154884999995744,46.22,54.8,20.446113438251775
182,0.028415436999996047,79.9,22.1,16.63397347542606
183,0.02864526899999653,53.32,47.7,16.602156676820933
184,0.02909070899999655,38.36,59.6,18.92347664027004
185,0.029181731999996963,73.72,28.28,19.05035733024971
186,0.02980807899999771,58.38,38.72,20.529098628114323
187,0.03084971499999778,21.46,75.52,17.044686256685015
188,0.030981128999997942,78.92,23.08,16.877581686238173
189,0.031075563999998224,91.76,9.26,18.556549428385125
190,0.03112903899999786,92.02,9.0,14.879347331115621
191,0.031190478999998383,91.76,9.26,16.918913668164343
192,0.031383900999998104,71.12,30.88,18.670310569702934
193,0.03186404399999798,72.74,28.28,15.07714551736783
194,0.03196701299999827,92.88,9.12,15.408738974871744
195,0.032461945999997965,91.36,9.66,15.392987728703412
196,0.032597341999998086,73.44,28.56,13.812894907180851
197,0.03292217799999797,92.48,9.52,13.296801930014107
198,0.032988737999997575,65.24,36.76,12.908389007484647
199,0.03310308499999781,15.88,78.1,10.856563109686757
200,0.033431902999997654,91.4,9.62,14.674085269388602
201,0.03386482799999779,64.68,37.32,12.310341014825426
202,0.03407360999999742,92.3,9.7,10.327452990823994
203,0.0341839749999977,73.44,28.56,14.249307367649909
204,0.0342220909999984,76.46,22.6,13.460436248229433
205,0.03451222499999851,93.14,8.86,17.66229521326005
206,0.03467492699999841,89.16,11.86,17.61839052862777
207,0.034727833999998126,6.98,87.98,17.80882833878732
208,0.03482113199999759,92.46,9.54,21.711842439896344
209,0.03498326599999757,92.02,9.0,25.11878831377376
210,0.03505665199999797,92.66,9.34,20.9255596634882
211,0.03521195899999796,75.84,25.18,25.22542538067269
212,0.03539115899999867,92.44,9.56,25.201418437058017
213,0.03570802999999856,60.16,41.84,23.519757427929875
