iter,time,reward,steps,convergence
1,0.0028239650000045913,-301.45,300.0,89.626891
2,0.005344712000002971,-299.0,300.0,80.226891
3,0.007546313000005966,-671.3,300.0,70.86424825732757
4,0.008743255000005945,-299.0,300.0,61.464248257327576
5,0.010027806000003636,-309.39,300.0,51.86481926031759
6,0.011191184000004739,-346.5,300.0,42.46689378897931
7,0.01226126500000646,-299.0,300.0,32.91636854400862
8,0.013362634000003482,-317.48,300.0,23.537936107677194
9,0.014565834000002553,-300.45,300.0,14.133423016093678
10,0.015602350000008869,-299.0,300.0,4.750984628110712
11,0.01662236800000727,-347.39,300.0,4.531423086247013
12,0.017681070000008958,-378.23,299.48,4.531423086247013
13,0.01939285800001045,-331.81,300.0,4.473863838919433
14,0.021352112000009527,-323.33,300.0,4.459318898481818
15,0.022380664000003492,-340.71,300.0,4.198415710995433
16,0.02372779400000269,-299.78,300.0,3.727058861555468
17,0.02558351000000414,-299.49,300.0,3.8775741065261657
18,0.027374942000001568,-299.0,300.0,3.8809132940745625
19,0.029243741999998463,-299.0,300.0,3.865846374117555
20,0.03111766199999977,-299.0,300.0,3.845089572100524
21,0.03306838299999981,-412.26,300.0,3.658716874421201
22,0.03514653499999554,-348.27,300.0,3.6097067844212014
23,0.036918055999997534,-299.49,300.0,3.179913922954332
24,0.038381237999999485,-299.0,300.0,3.156104278069521
25,0.0400964389999956,-299.87,300.0,3.438517505953918
26,0.04215695599999236,-348.12,300.0,3.955871865030814
27,0.04396090299999145,-299.0,300.0,3.7375105973103837
28,0.045587925999988954,-301.01,300.0,3.6608406211886866
29,0.04747094799998308,-409.14,300.0,3.4914592766891084
30,0.04947400599998275,-301.7,300.0,3.101092911692303
31,0.051419036999988066,-324.53,300.0,3.473546448824005
32,0.05250504599999317,-326.49,300.0,3.50651384063958
33,0.05443357999999421,-302.59,300.0,3.5063598170598156
34,0.055634505000000445,-329.62,300.0,3.3029574530956367
35,0.05666988299999787,-302.8,300.0,3.106382474218992
36,0.05771493199999611,-303.5,300.0,2.860703840684576
37,0.058794113999994124,-303.6,300.0,2.8706151839899894
38,0.059853384999996706,-441.57,300.0,2.4880141670050504
39,0.06090412299999315,-389.1,300.0,2.6486117244887724
40,0.06261192699999185,-307.99,300.0,3.004931594407933
41,0.0635972429999967,-333.06,300.0,2.8288439693806295
42,0.06459791900000056,-335.62,300.0,2.827826086005479
43,0.0656253319999962,-438.03,300.0,2.8335937798323343
44,0.06665615899999722,-322.06,300.0,2.86190080113517
45,0.06776037199999507,-313.24,300.0,2.7924837032816945
46,0.06876730599999092,-385.11,300.0,2.516226771288891
47,0.0697662749999921,-347.57,300.0,2.52777318537787
48,0.07114071099999109,-317.29,300.0,2.5632254372675343
49,0.07298903199998819,-451.0,300.0,2.114437657993297
50,0.07399198399998852,-305.84,300.0,2.0686183715724415
51,0.07513089899998704,-303.1,300.0,2.1615696210906927
52,0.07611905899998561,-300.16,300.0,2.1778291393723097
53,0.07712428599998589,-302.77,300.0,2.618606796099039
54,0.07877121999998593,-322.22,300.0,2.43423295552025
55,0.0802355409999862,-324.66,300.0,3.2781439888623587
56,0.08548979999998352,-322.9,300.0,3.571539860775131
57,0.08674192499998412,-308.65,300.0,3.365061642422188
58,0.08793716099998505,-347.62,300.0,3.3389204002356316
59,0.08911077899998787,-319.71,300.0,3.807435442713512
60,0.09029065499998978,-400.07,300.0,3.8415125312204736
61,0.09132603299999431,-325.63,300.0,4.241238609140845
62,0.09242114399999224,-404.13,300.0,4.312094140469906
63,0.09349691299999563,-299.0,300.0,4.4218448492846845
64,0.09453285999999395,-300.34,300.0,4.381569157255436
65,0.0956666559999988,-299.87,300.0,3.5043790681600826
66,0.09800365199999561,-302.17,300.0,3.653532790493057
67,0.09987131499999435,-317.01,300.0,3.576368307883306
68,0.10088735099999013,-331.34,300.0,3.5699618076358552
69,0.10202228499998967,-335.44,300.0,3.3901879029526256
70,0.10303604499998897,-311.61,300.0,3.197239472575979
71,0.10441104899999232,-432.38,300.0,2.884033403846454
72,0.1053872619999936,-328.14,300.0,2.342977260110762
73,0.10712066699998957,-301.63,300.0,1.765464793484157
74,0.10869478299999003,-320.61,300.0,1.72500462285953
75,0.11005556599999267,-321.08,300.0,2.128400493574025
76,0.11276177099998819,-349.85,300.0,2.19005042308275
77,0.11454523799999095,-330.01,300.0,2.4904105677595885
78,0.11610854599999243,-329.56,300.0,2.4592259741285822
79,0.11774979099999427,-343.97,300.0,2.6471364141645437
80,0.11959412899999222,-399.71,300.0,2.905721817586277
81,0.12062495599999323,-304.45,300.0,2.873197223180855
82,0.12161880599999364,-375.04,300.0,3.126198501639
83,0.12261265499999041,-380.1,300.0,3.2899124974110556
84,0.12376806899998627,-350.09,300.0,3.3176146553433177
85,0.12554527899998646,-319.32,300.0,3.354237599522636
86,0.1265362839999824,-580.58,300.0,3.074222020565059
87,0.13004177799998473,-456.72,298.99,2.785337788413852
88,0.13117159199998696,-469.94,300.0,2.778980724670695
89,0.13219047199999068,-338.16,300.0,2.30570457750251
90,0.13319285399998648,-425.57,300.0,2.237614842218658
91,0.1354587389999864,-321.16,300.0,1.834541819615584
92,0.13727975299998718,-320.14,300.0,1.5817139274601115
93,0.13827360199998395,-366.73,300.0,1.4580976329190123
94,0.13928394899998153,-324.59,300.0,1.788894251942089
95,0.13986706099998258,-336.11,300.0,1.9528513514048798
96,0.14237244899998558,-338.62,300.0,1.768205807005236
97,0.14342489299998107,-320.2,298.79,2.129478593893501
98,0.14601959599998082,-358.49,299.21,2.6115141216835966
99,0.14777746299998284,-380.4,300.0,3.1629466431857276
100,0.14878780999998042,-429.36,300.0,3.0844510842022363
101,0.14973444099998545,-361.37,300.0,3.2790815776952256
102,0.1506770909999844,-445.04,300.0,3.506786268709469
103,0.15160096699998604,-312.98,300.0,3.7292486685616937
104,0.15251517199998688,-311.49,300.0,3.869629681977796
105,0.15346066599998665,-373.78,300.0,3.2806748868234665
106,0.15441810599998718,-331.6,300.0,3.5286038802065627
107,0.1553203639999836,-346.07,300.0,3.475479971209269
108,0.15648999899998017,-357.98,300.0,3.4868709190437954
109,0.15740590999998005,-302.43,300.0,2.965694243435205
110,0.1583138569999747,-316.73,300.0,3.1102904123018775
111,0.15916491499997676,-387.25,300.0,2.9029665920010697
112,0.16001028399998063,-343.39,299.56,2.900774432565101
113,0.16089831999997983,-321.29,300.0,3.117220107378137
114,0.16174084499998287,-320.49,300.0,2.626922829229999
115,0.16261352099998305,-347.23,298.88,2.698881899123079
116,0.16304928999998225,-411.37,300.0,2.4614654311993407
117,0.16395211699997958,-320.68,300.0,2.6022711733856783
118,0.16483048099998143,-337.43,300.0,2.15360174179564
119,0.16577369999998126,-318.57,300.0,2.1473036136941746
120,0.16665604699998227,-320.54,300.0,2.2122237161762164
121,0.1675531849999814,-357.97,300.0,2.6202156117759534
122,0.16906529199997777,-313.79,300.0,2.3959353411037028
123,0.1699868929999795,-315.51,300.0,1.947898240627196
124,0.1708914269999795,-350.15,300.0,2.398463532504163
125,0.17180335599998386,-332.66,300.0,2.3369552420564563
126,0.17275908999998535,-350.63,300.0,2.35841979578708
127,0.17368125899998432,-325.47,300.0,2.205768095087864
128,0.17459034399998785,-320.97,300.0,2.674772964837244
129,0.17556712699998656,-388.08,300.0,2.747243853024698
130,0.176513758999981,-304.13,300.0,2.231792639537265
131,0.1774512879999861,-350.5,300.0,2.2589083633823677
132,0.17835297699998875,-312.78,300.0,2.2616476815258224
133,0.17927400899998958,-323.8,300.0,2.261957156194376
134,0.18023031099998832,-354.55,300.0,1.8027519639094496
135,0.18118319999998533,-302.46,300.0,1.7778935386019221
136,0.1821241429999816,-299.87,300.0,1.7887749642019244
137,0.1835418149999839,-326.24,300.0,1.5224414341313641
138,0.1849668829999871,-326.22,300.0,1.3118005297958848
139,0.18598007499998914,-301.63,300.0,1.5218171763252502
140,0.18701317799998662,-347.11,300.0,1.5038525538303273
141,0.1886458889999858,-387.18,300.0,1.114981088121071
142,0.19046405899998575,-324.53,300.0,1.1240889091613793
143,0.19179412199998325,-337.21,300.0,1.1008792386824762
144,0.1928266549999833,-315.32,300.0,1.4795030077204543
145,0.1937926289999794,-323.99,300.0,1.9288574603496258
146,0.19535536699998346,-392.45,300.0,2.3709392204963713
147,0.196357180999982,-404.62,300.0,2.650932223026803
148,0.19735785599998223,-300.94,300.0,2.3630256180913776
149,0.19840119899998143,-342.13,300.0,2.528199350870878
