iter,time,reward,steps,convergence
1,0.15547908399999955,-299.0,300.0,83.8935897024
2,0.29692993300000126,-299.0,300.0,64.54686087513427
3,0.4220502530000019,-299.0,300.0,64.90671565307396
4,0.543604208000005,-302.44,300.0,67.83331691562178
5,0.6619974150000019,-255.99,263.2,60.878454959382175
6,0.8085312880000046,-15.97,71.22,60.7014193803643
7,0.9386208539999998,4.81,55.94,58.70698194709867
8,1.0655934759999965,4.36,55.27,57.51784761080688
9,1.1897819559999974,-3.58,56.1,44.63914207720892
10,1.3100792349999963,13.27,62.39,39.26277213758527
11,1.4315996249999898,12.98,63.06,8.458157207062348
12,1.552226858999994,13.47,63.09,6.964750719841577
13,1.658944186999996,12.1,62.49,5.410413100370958
14,1.7577289259999986,9.26,63.91,3.5440549666275754
15,1.8329662089999985,11.26,63.69,1.536893765175165
16,1.849434408999997,14.33,63.14,0.00029258457328573684
17,1.8650987689999923,14.83,62.65,0.0001006207804259418
18,1.8808251379999916,16.21,63.04,3.601798063357364e-05
19,1.8964519509999889,17.37,62.31,1.3362076973777448e-05
20,1.9127875999999873,10.76,63.54,5.113636195375193e-06
21,1.9296409379999844,14.51,62.98,2.009632170896225e-06
22,1.9472565879999877,9.1,64.29,8.077490267766052e-07
23,1.9700081679999926,9.45,63.12,3.309607308210616e-07
24,1.9915235509999931,13.13,62.02,1.379449354743656e-07
25,2.0082107739999984,13.41,64.77,5.850094098036607e-08
26,2.0243524320000006,11.91,64.0,2.5361204691876083e-08
27,2.040135121000006,7.07,63.73,1.1371126262815778e-08
28,2.055745437000006,10.11,64.39,5.3766164853641385e-09
29,2.0709529790000047,13.32,63.64,4.1698093866671115e-09
30,2.088961731000005,15.93,63.28,3.7064076252590894e-09
31,2.112656529000006,10.57,63.86,3.1444322701190686e-09
32,2.1323082330000034,11.48,62.78,2.582210001378371e-09
33,2.1482650020000023,11.86,63.91,2.0841408598926137e-09
34,2.164034037999997,7.19,64.21,1.6761294574507701e-09
35,2.1797524420000016,8.74,64.67,1.3547900579169436e-09
36,2.195177868000002,12.26,63.75,1.1020180323839668e-09
37,2.211216557,16.82,63.06,8.975522547416404e-10
38,2.2262244190000047,15.47,62.78,7.2600414569024e-10
39,2.2417932050000005,14.54,62.32,5.785381063105888e-10
40,2.256614470999999,10.81,64.17,4.5144687987885845e-10
41,2.2751665119999984,15.7,64.01,3.4367175771876646e-10
42,2.3004547679999945,16.95,63.63,2.5480417775725073e-10
43,2.3182689599999904,15.33,62.66,1.8393464529253833e-10
44,2.355846925999991,9.07,63.1,1.2936318682932324e-10
45,2.397073746999986,14.71,63.31,8.874145862591831e-11
46,2.42766404999999,14.72,62.9,5.946532155576278e-11
47,2.463237819999989,13.01,62.8,3.89857035543173e-11
48,2.4878377199999875,11.45,63.6,2.504663143554353e-11
49,2.524799578999989,15.75,62.27,1.5790035945428826e-11
50,2.54914518599999,7.68,63.9,9.78594982825598e-12
51,2.581592910999987,9.94,63.05,5.966782623545441e-12
52,2.6085423229999876,13.68,61.65,3.5846881019097054e-12
53,2.637161992999985,13.14,63.16,2.1262991367621e-12
54,2.6669325259999823,10.74,63.0,1.2452261444195756e-12
55,2.689367802999982,10.35,62.46,7.212008767965017e-13
56,2.717871988999981,14.51,64.02,4.1033842990145786e-13
57,2.7453043879999797,9.03,63.47,2.327027459614328e-13
58,2.780042459999983,13.59,63.56,1.2967404927621828e-13
59,2.8090222369999864,8.41,63.2,7.283063041541027e-14
60,2.8396762539999827,13.58,62.19,3.907985046680551e-14
61,2.8694564579999806,11.77,63.89,2.1316282072803006e-14
62,2.8993453199999806,16.31,62.26,1.2434497875801753e-14
63,2.9242905359999867,15.83,64.71,7.105427357601002e-15
64,2.9484404449999886,15.18,63.29,3.552713678800501e-15
65,2.9722086289999865,17.84,62.37,1.7763568394002505e-15
66,3.0051985049999885,10.76,63.23,0.0
67,3.043572915999988,14.98,63.6,0.0
68,3.0737701159999844,13.49,64.83,0.0
69,3.1028852879999818,15.14,62.88,0.0
70,3.1246151429999784,16.26,62.22,0.0
71,3.157008253999976,14.4,61.85,0.0
72,3.1756160459999805,10.35,63.41,0.0
73,3.206766703999982,12.5,62.36,0.0
74,3.229779403999977,15.0,63.0,0.0
75,3.247770520999971,13.84,64.03,0.0
76,3.26612572599997,10.28,64.15,0.0
77,3.2830638279999746,13.48,63.61,0.0
78,3.3027166689999774,13.64,63.89,0.0
79,3.3279281249999784,7.84,64.05,0.0
80,3.349973143999975,16.94,63.08,0.0
81,3.3701846349999727,15.74,64.65,0.0
82,3.3866192699999758,10.95,62.89,0.0
83,3.403472038999972,11.73,64.22,0.0
84,3.423130568999973,13.75,63.35,0.0
85,3.441671800999977,13.37,62.77,0.0
86,3.4581678769999797,13.45,63.84,0.0
87,3.4752897309999753,5.89,64.58,0.0
88,3.4909631939999812,12.0,62.86,0.0
89,3.5075690659999808,13.51,63.55,0.0
90,3.5255687149999773,13.41,63.3,0.0
91,3.541106211999974,13.57,63.19,0.0
92,3.5669002109999752,13.95,63.55,0.0
93,3.767580374999973,8.21,64.3,0.0
94,3.7916312969999737,15.54,63.47,0.0
95,3.809473932999971,14.55,63.42,0.0
96,3.8268256179999725,13.48,63.44,0.0
97,3.8475923439999704,10.23,63.61,0.0
98,3.8679141979999656,8.29,64.48,0.0
99,3.8852152519999663,12.23,63.16,0.0
100,3.904322527999966,7.05,62.95,0.0
