iter,time,reward,steps,convergence
1,0.039895051,-303.75,300.0,83.8967521584
2,0.06354035499999999,-301.45,300.0,62.92258233067285
3,0.08553588099999976,-300.47,300.0,40.84734400396159
4,0.10680322900000006,-299.98,300.0,34.49456598429516
5,0.1310976359999998,-299.29,300.0,28.616987277225142
6,0.1555120780000001,-299.98,300.0,26.407638575092363
7,0.17735286700000064,-299.98,300.0,23.0355135362759
8,0.2034950250000005,-299.0,300.0,19.797965802347402
9,0.22781616900000135,-300.47,300.0,18.572411192311623
10,0.26872555000000276,-299.49,300.0,14.251210013940824
11,0.2942658240000018,-299.49,300.0,13.211788741506364
12,0.3181511990000008,-299.49,300.0,12.113437778868954
13,0.3381630090000005,-298.23,299.66,10.694214999931182
14,0.3594599400000007,-299.0,300.0,10.161831193844922
15,0.3813667200000008,-299.98,300.0,9.116661937440849
16,0.4091535370000017,-298.2,299.16,8.847169892757632
17,0.432653206000003,-298.56,299.99,7.833173309722836
18,0.45717972000000273,-283.61,290.07,7.109570510281337
19,0.47855458800000505,-247.36,263.21,5.970213785194572
20,0.49843669200000207,-263.52,278.29,4.733049388620099
21,0.5210665300000024,-161.11,209.32,4.026751783869879
22,0.5470556580000014,-165.57,211.27,3.454845681236825
23,0.5691774770000002,8.72,63.92,3.0869329166451553
24,0.5907389410000015,14.82,62.44,2.9452206556619167
25,0.6122776490000028,13.7,62.2,2.768256729138086
26,0.6337668640000018,13.91,63.18,2.348787702091011
27,0.6592980349999991,14.5,63.76,1.9235590909643037
28,0.6841306110000005,13.66,63.55,1.8761668551001325
29,0.7056329110000021,14.31,62.42,1.6808840575334987
30,0.728182535000002,12.48,63.26,1.419811430689757
31,0.7555881960000015,8.92,63.06,1.1338133924068394
32,0.7838068000000042,10.1,64.86,0.867853461262218
33,0.8064645130000052,12.94,64.23,0.6427860977881501
34,0.8341477920000067,15.75,62.51,0.463811365325304
35,0.8561086160000073,10.87,63.19,0.3276741089279973
36,0.8773901860000066,11.23,64.0,0.22748957783303148
37,0.8989681480000051,9.05,63.29,0.15562929016348903
38,0.9202081890000038,20.45,62.33,0.10517043445211804
39,0.9431896000000037,12.27,64.73,0.07036917616410499
40,0.9656493400000024,11.3,63.36,0.046705829154934264
41,0.9881807600000023,15.3,64.09,0.0307813188187378
42,1.0105523220000023,13.81,63.09,0.020142921187966678
43,1.0352506400000046,13.38,64.61,0.013077773476046772
44,1.0579407790000062,10.49,63.09,0.008414302838554377
45,1.080051790000006,12.66,63.48,0.005358871436071055
46,1.1054987660000073,13.48,64.37,0.0033752198937904154
47,1.1269271100000076,11.47,64.22,0.0021011390755880655
48,1.1489806630000103,8.36,63.4,0.0012924975677677253
49,1.1702781630000096,12.47,64.89,0.0007856882391781284
50,1.1962229170000107,12.98,63.34,0.0004721010212698218
51,1.2190359360000116,6.1,63.68,0.0002805232927514112
52,1.2413142000000121,18.17,62.34,0.00016492261933898078
53,1.2651643050000096,10.11,63.99,9.598909125330124e-05
54,1.298101274000011,15.78,62.05,5.534258771966449e-05
55,1.3216134590000124,9.15,63.64,3.1627349164509155e-05
56,1.3442137150000093,14.18,63.09,1.7926723971939396e-05
57,1.3656989480000092,18.1,62.64,1.0084154027367731e-05
58,1.3876478260000091,13.42,63.33,5.632996185056527e-06
59,1.4087775030000103,18.19,61.78,3.1264925102192365e-06
60,1.430086380000013,14.53,63.13,1.7252257649147396e-06
61,1.4505845900000125,11.49,63.9,9.470109763043411e-07
62,1.471661360000013,10.91,64.87,5.174080364156453e-07
63,1.4928877480000153,13.75,63.27,2.8153275621889406e-07
64,1.5140145800000155,15.87,62.22,1.526483615066354e-07
65,1.5366626220000157,8.9,62.8,8.252302130529188e-08
