iter,time,reward,steps,convergence
1,0.005985851000000153,88.58,9.5,79.80000000000001
2,0.015517017999999716,92.46,9.54,35.34595278629848
3,0.020078940000000323,92.56,9.44,0.6038365029333532
4,0.021488648000000055,91.04,9.0,2.4248605895893505e-05
5,0.023076987000000493,90.24,9.8,4.000789631808388e-06
6,0.024512294000000878,92.06,8.96,6.947694955461436e-07
7,0.026196774000000644,91.82,9.2,1.2379159458619782e-07
8,0.027569503000000495,93.1,8.9,2.2568964030966754e-08
9,0.02911119200000023,92.9,9.1,4.230594541354549e-09
10,0.030650606000000025,92.54,9.46,8.182688970848062e-10
11,0.0320705530000005,92.92,9.08,1.6332524221951417e-10
12,0.03334884700000007,92.56,9.44,3.351380284399852e-11
13,0.03463851899999959,92.9,9.1,7.0233263649299715e-12
14,0.03580474099999975,91.8,9.22,1.4924173008523667e-12
15,0.03703297199999955,92.68,9.32,3.1907809727727e-13
16,0.03874987900000004,89.76,9.3,6.872280522429719e-14
17,0.04007994199999931,92.92,9.08,1.4155343563970746e-14
18,0.04224399599999984,90.82,9.22,2.942091015256665e-15
19,0.04340794300000006,91.36,9.66,4.996003610813204e-16
20,0.04485007700000043,91.8,9.22,1.1102230246251565e-16
21,0.04600549100000073,91.72,9.3,0.0
22,0.04713075400000033,92.3,9.7,0.0
23,0.048447163000000515,93.12,8.88,0.0
24,0.04978348300000057,92.84,9.16,0.0
25,0.05117726200000039,92.96,9.04,0.0
26,0.05243848900000092,92.8,9.2,0.0
27,0.05349491600000089,93.2,8.8,0.0
28,0.054748748000000624,92.78,9.22,0.0
29,0.05583987700000126,92.88,9.12,0.0
30,0.05713523800000164,91.26,9.76,0.0
31,0.05857395800000109,92.82,9.18,0.0
32,0.059678172000000806,92.46,9.54,0.0
33,0.060794332000000395,92.5,9.5,0.0
34,0.062077745999999934,88.76,9.32,0.0
35,0.06321836800000025,91.88,10.12,0.0
36,0.06442612000000025,92.78,9.22,0.0
37,0.06595358700000009,92.82,9.18,0.0
38,0.06697872500000024,93.1,8.9,0.0
39,0.06809488499999983,93.04,8.96,0.0
40,0.06924916099999923,92.46,9.54,0.0
