iter,time,reward,steps,convergence
1,0.005544962,-166.64,182.82,79.80000000000001
2,0.009096536000000044,-61.94,123.6,17.76345344
3,0.010974438999999947,89.94,10.1,4.932794719556956
4,0.012453551000000007,92.54,9.46,1.8849557996876354
5,0.014324627000000034,92.68,9.32,1.0779389688365466
6,0.016033001000000047,92.0,9.02,0.5917662962148562
7,0.017082032000000025,92.9,9.1,0.24868848821404277
8,0.01796949900000011,91.68,9.34,0.08090811436865258
9,0.019409926000000133,92.74,9.26,0.022746582939455362
10,0.02047090400000018,91.46,9.56,0.005826591248184743
11,0.02186923300000021,92.02,9.0,0.0014006612905251847
12,0.023646442000000212,92.3,9.7,0.0003217734279984952
13,0.02458966000000029,92.8,9.2,7.148556174579879e-05
14,0.025531172000000324,91.54,9.48,1.5483701858443055e-05
15,0.026967616000000416,93.22,8.78,3.2888597619740167e-06
16,0.028574159000000376,91.62,9.4,6.880128389230578e-07
17,0.030078870000000424,91.76,9.26,1.4221708088957286e-07
18,0.03157504800000044,92.76,9.24,2.9122497968714356e-08
19,0.03409522600000037,92.7,9.3,5.9200871982412195e-09
20,0.035031049000000314,91.76,9.26,1.1967203894514e-09
21,0.03591453300000036,92.44,9.56,2.4090429651124623e-10
22,0.03680768900000031,92.8,9.2,4.8351433967752655e-11
23,0.037712791000000356,92.06,8.96,9.686029756039716e-12
24,0.03863211600000038,93.04,8.96,1.9380053117856733e-12
25,0.03955883600000054,92.56,9.44,3.879119248040297e-13
26,0.04044744100000053,90.3,9.74,7.716050021144838e-14
27,0.04185885500000042,92.5,9.5,1.504352198367087e-14
28,0.042743478000000446,92.56,9.44,3.1086244689504383e-15
29,0.043632651000000355,92.14,8.88,4.996003610813204e-16
30,0.04476644700000043,90.52,9.52,1.1102230246251565e-16
31,0.0464423940000005,92.16,8.86,0.0
32,0.04803926500000033,92.88,9.12,0.0
33,0.04982614600000024,92.92,9.08,0.0
34,0.05118067100000023,92.36,8.66,0.0
35,0.05287596100000025,93.02,8.98,0.0
36,0.05658341100000008,93.1,8.9,0.0
37,0.05791916300000022,92.78,9.22,0.0
38,0.05892211400000025,91.52,9.5,0.0
39,0.060310772000000235,92.14,9.86,0.0
40,0.061656763000000225,92.96,9.04,0.0
41,0.06266426500000022,92.3,9.7,0.0
42,0.06355002500000029,93.38,8.62,0.0
43,0.06497054100000033,91.6,9.42,0.0
44,0.06583127000000011,92.72,9.28,0.0
45,0.06720229300000002,91.32,9.7,0.0
46,0.06821719100000001,89.72,9.34,0.0
47,0.06955237400000014,92.8,9.2,0.0
48,0.07042163600000007,92.92,9.08,0.0
49,0.0712425430000001,92.82,9.18,0.0
50,0.07206288100000013,92.6,9.4,0.0
51,0.07289744200000015,92.8,9.2,0.0
52,0.07405285500000014,91.48,9.54,0.0
53,0.07558999300000013,92.58,9.42,0.0
54,0.07686430499999997,92.92,9.08,0.0
55,0.07817957599999992,92.08,8.94,0.0
56,0.07963536299999996,93.1,8.9,0.0
57,0.08045058100000002,93.02,8.98,0.0
58,0.08130107000000009,92.1,8.92,0.0
59,0.08203209199999995,90.9,9.14,0.0
60,0.0827619770000001,92.8,9.2,0.0
61,0.08355159500000009,93.14,8.86,0.0
62,0.08492091100000021,92.96,9.04,0.0
63,0.08568265400000019,93.22,8.78,0.0
64,0.08673111700000025,92.42,9.58,0.0
65,0.08747351700000028,92.82,9.18,0.0
66,0.08823639700000041,92.7,9.3,0.0
67,0.08898619300000044,92.62,9.38,0.0
68,0.08972916300000056,90.86,9.18,0.0
69,0.09109620300000043,92.7,9.3,0.0
70,0.09242057600000053,92.58,9.42,0.0
71,0.09376201700000042,92.2,8.82,0.0
72,0.09445606100000048,91.9,10.1,0.0
73,0.09513815900000044,92.6,9.4,0.0
74,0.09600457700000042,93.02,8.98,0.0
75,0.09675607900000038,92.36,9.64,0.0
76,0.09750587500000041,91.3,9.72,0.0
77,0.09821641700000039,92.82,9.18,0.0
78,0.09894402600000052,92.18,8.84,0.0
79,0.09966879100000048,91.94,9.08,0.0
80,0.10040607100000054,92.36,9.64,0.0
81,0.1011166140000006,92.28,9.72,0.0
82,0.10183398300000057,92.96,9.04,0.0
83,0.10254850700000051,92.6,9.4,0.0
84,0.10332731600000056,91.7,9.32,0.0
85,0.10404127100000049,92.74,9.26,0.0
86,0.1047614840000004,92.56,9.44,0.0
87,0.10547430200000041,92.32,9.68,0.0
88,0.10625766200000042,92.64,9.36,0.0
89,0.10695910200000047,92.68,9.32,0.0
90,0.10765656000000057,92.26,9.74,0.0
91,0.10839099600000046,92.3,9.7,0.0
92,0.10911519200000064,93.0,9.0,0.0
93,0.1098388180000005,93.02,8.98,0.0
94,0.11056187600000045,92.04,9.96,0.0
95,0.11128948600000044,92.06,9.94,0.0
96,0.11215988600000038,92.8,9.2,0.0
97,0.11509137200000041,91.38,9.64,0.0
98,0.11582865200000048,92.74,9.26,0.0
99,0.11675252800000058,92.98,9.02,0.0
100,0.11751142600000053,92.28,9.72,0.0
101,0.1183505380000005,92.42,9.58,0.0
102,0.11909976500000052,92.22,9.78,0.0
103,0.11976536500000057,92.98,9.02,0.0
104,0.1207063080000006,92.8,9.2,0.0
105,0.1217934550000006,93.16,8.84,0.0
106,0.12290506400000067,92.86,9.14,0.0
107,0.12401269100000079,91.9,9.12,0.0
108,0.1248540780000007,91.9,9.12,0.0
109,0.12549123400000073,92.56,9.44,0.0
110,0.12618414100000064,91.8,10.2,0.0
111,0.12682129600000058,91.34,9.68,0.0
112,0.12794542000000075,92.4,9.6,0.0
113,0.12860078100000072,93.0,9.0,0.0
114,0.12923167900000054,92.98,9.02,0.0
115,0.1298284440000006,93.16,8.84,0.0
116,0.13059075600000059,90.96,9.08,0.0
117,0.13137752900000055,92.8,9.2,0.0
118,0.13249198300000042,92.56,9.44,0.0
119,0.1336752720000003,91.86,9.16,0.0
120,0.13436533400000017,92.28,8.74,0.0
121,0.13502126300000028,90.26,9.78,0.0
122,0.13564874800000037,92.18,8.84,0.0
123,0.13653280100000043,92.3,9.7,0.0
124,0.13712046400000055,90.26,9.78,0.0
125,0.1377166600000006,92.48,9.52,0.0
126,0.13832650900000054,92.82,9.18,0.0
127,0.13902681200000067,91.32,9.7,0.0
128,0.13969696300000067,89.24,9.82,0.0
129,0.1407437190000007,92.54,9.46,0.0
130,0.1417591860000007,92.64,9.36,0.0
131,0.1423565190000009,92.78,9.22,0.0
132,0.1429214260000009,91.24,9.78,0.0
133,0.14353753300000083,92.6,9.4,0.0
134,0.1445018000000009,92.78,9.22,0.0
135,0.14513042200000092,90.86,9.18,0.0
136,0.14606965800000093,93.16,8.84,0.0
137,0.14734738300000094,90.54,9.5,0.0
138,0.14839413900000098,92.16,9.84,0.0
139,0.14941700100000088,92.76,9.24,0.0
140,0.150455224000001,92.06,8.96,0.0
141,0.1510423180000009,93.08,8.92,0.0
142,0.15164249500000082,92.96,9.04,0.0
143,0.15221536600000074,92.86,9.14,0.0
144,0.15280245900000078,93.12,8.88,0.0
145,0.15339239700000085,92.02,9.0,0.0
146,0.15395502800000083,92.36,9.64,0.0
147,0.1545239170000008,93.04,8.96,0.0
148,0.15508427300000083,91.96,9.06,0.0
149,0.1556474730000008,92.94,9.06,0.0
150,0.15622375800000077,92.98,9.02,0.0
151,0.15678070100000085,92.02,9.0,0.0
152,0.1573410560000008,91.32,9.7,0.0
153,0.16039883400000088,92.5,9.5,0.0
154,0.16097910100000057,92.82,9.18,0.0
155,0.16149394600000067,92.26,9.74,0.0
156,0.1620912800000005,91.84,9.18,0.0
157,0.1626681330000006,93.28,8.72,0.0
158,0.16320402700000036,92.6,9.4,0.0
159,0.16678859700000048,93.0,9.0,0.0
160,0.16734042000000038,92.32,8.7,0.0
161,0.16796847400000026,92.86,9.14,0.0
162,0.1685635320000003,90.76,9.28,0.0
163,0.16913697200000022,91.68,9.34,0.0
164,0.16973771900000045,93.08,8.92,0.0
165,0.1707071060000005,91.4,9.62,0.0
166,0.17133174600000056,91.72,9.3,0.0
167,0.17189267100000083,92.16,8.86,0.0
168,0.17244676900000067,92.34,9.66,0.0
169,0.17302191600000083,92.62,9.38,0.0
170,0.17360047600000073,91.64,9.38,0.0
171,0.17424104500000093,92.7,9.3,0.0
172,0.17524513500000083,93.5,8.5,0.0
173,0.17585839700000117,93.42,8.58,0.0
174,0.17646426400000115,91.5,9.52,0.0
175,0.17702746400000113,92.98,9.02,0.0
176,0.17788136600000115,92.68,9.32,0.0
177,0.17887749100000105,92.76,9.24,0.0
178,0.1798838560000009,92.56,9.44,0.0
179,0.1808811190000008,91.78,9.24,0.0
180,0.18145626600000075,91.66,9.36,0.0
181,0.18201491500000078,92.76,9.24,0.0
182,0.18259859500000108,92.7,9.3,0.0
183,0.1831515550000009,92.5,9.5,0.0
184,0.1837170310000007,92.82,9.18,0.0
185,0.18428762700000068,92.64,9.36,0.0
186,0.18483262300000058,91.56,9.46,0.0
187,0.18537420600000054,92.94,9.06,0.0
188,0.18591692600000043,92.8,9.2,0.0
189,0.1866217800000003,92.44,9.56,0.0
190,0.1871855490000005,92.14,9.86,0.0
191,0.18773054500000042,92.76,9.24,0.0
192,0.18836997600000016,92.62,9.38,0.0
193,0.18932286500000028,91.88,9.14,0.0
194,0.18989971799999994,92.78,9.22,0.0
