iter,time,reward,steps,shape
123,0.03352064900000001,98.4,3.6,2
223,0.028655511000000022,95.6,6.4,3
373,0.04391937299999993,92.68,9.32,4
374,0.08215383600000004,89.48,12.52,5
577,0.11726225600000006,83.65,18.35,7
892,0.30679503799999974,76.94,25.06,10
1621,0.4699962229999999,63.08,38.92,15
2183,0.9952475009999997,50.23,51.77,20
2732,1.9953060960000002,34.5,67.5,25
3651,3.246955306000004,22.58,79.42,30
3626,4.561412711000003,8.62,93.38,35
5007,8.238341188000007,-4.73,106.73,40
10,0.15324391900000478,-3991.71,3993.72,50
